code,date,export
001 Live animals other than animals of division 03,1/1/2017,102.77
001 Live animals other than animals of division 03,2/1/2017,95.34
001 Live animals other than animals of division 03,3/1/2017,100.09
001 Live animals other than animals of division 03,4/1/2017,98.38
001 Live animals other than animals of division 03,5/1/2017,104.27
001 Live animals other than animals of division 03,6/1/2017,100.43
001 Live animals other than animals of division 03,7/1/2017,103.84
001 Live animals other than animals of division 03,8/1/2017,111.69
001 Live animals other than animals of division 03,9/1/2017,108.39
001 Live animals other than animals of division 03,10/1/2017,107.92
001 Live animals other than animals of division 03,11/1/2017,111.85
001 Live animals other than animals of division 03,12/1/2017,108.42
001 Live animals other than animals of division 03,1/1/2018,122.89
001 Live animals other than animals of division 03,2/1/2018,119.33
001 Live animals other than animals of division 03,3/1/2018,119.08
001 Live animals other than animals of division 03,4/1/2018,107.16
001 Live animals other than animals of division 03,5/1/2018,103.58
001 Live animals other than animals of division 03,6/1/2018,105.66
001 Live animals other than animals of division 03,7/1/2018,91.81
001 Live animals other than animals of division 03,8/1/2018,100.75
001 Live animals other than animals of division 03,9/1/2018,95.5
001 Live animals other than animals of division 03,10/1/2018,91.66
001 Live animals other than animals of division 03,11/1/2018,98.67
001 Live animals other than animals of division 03,12/1/2018,96.65
001 Live animals other than animals of division 03,1/1/2019,113.41
001 Live animals other than animals of division 03,2/1/2019,103.29
001 Live animals other than animals of division 03,3/1/2019,105.1
001 Live animals other than animals of division 03,4/1/2019,100.72
001 Live animals other than animals of division 03,5/1/2019,104.35
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
