"Age","BusinessTravel","DailyRate","DistanceFromHome","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobLevel","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager","Attrition"
39,"Travel_Frequently",443,8,3,"Female",48,3,1,3,"Married",3755,17872,1,"No",11,3,1,1,8,3,3,8,3,0,7,"No"
28,"Travel_Rarely",304,9,2,"Male",92,3,2,4,"Single",5253,20750,1,"No",16,3,4,0,7,1,3,7,5,0,7,"No"
28,"Travel_Rarely",1451,2,1,"Male",67,2,1,2,"Married",3201,19911,0,"No",17,3,1,0,6,2,1,5,3,0,4,"No"
38,"Non-Travel",573,6,2,"Female",79,1,2,4,"Divorced",5329,15717,7,"Yes",12,3,4,3,17,3,3,13,11,1,9,"No"
40,"Travel_Rarely",658,10,1,"Male",67,2,3,2,"Divorced",9705,20652,2,"No",12,3,2,1,11,2,2,1,0,0,0,"No"
33,"Non-Travel",722,17,4,"Male",38,3,4,3,"Single",17444,20489,1,"No",11,3,4,0,10,2,3,10,8,6,0,"No"
41,"Travel_Rarely",1206,23,4,"Male",80,3,3,3,"Single",7082,11591,3,"Yes",16,3,4,0,21,2,3,2,0,0,2,"No"
50,"Travel_Rarely",316,8,4,"Male",54,3,1,2,"Married",3875,9983,7,"No",15,3,4,1,4,2,3,2,2,2,2,"No"
46,"Travel_Rarely",406,3,1,"Male",52,3,4,3,"Married",17465,15596,3,"No",12,3,4,1,23,3,3,12,9,4,9,"No"
45,"Travel_Frequently",1199,7,1,"Male",77,4,2,3,"Married",6434,5118,4,"No",17,3,4,1,9,1,3,3,2,0,2,"No"
34,"Travel_Frequently",648,11,3,"Male",56,2,2,2,"Married",4490,21833,4,"No",11,3,4,2,14,5,4,10,9,1,8,"No"
47,"Travel_Rarely",1001,4,3,"Female",92,2,3,2,"Divorced",10333,19271,8,"Yes",12,3,3,1,28,4,3,22,11,14,10,"No"
52,"Travel_Rarely",319,3,4,"Male",39,2,3,3,"Married",7969,19609,2,"Yes",14,3,3,0,28,4,3,5,4,0,4,"No"
35,"Travel_Rarely",384,8,1,"Female",72,3,1,4,"Married",2572,20317,1,"No",16,3,2,1,3,1,2,3,2,0,2,"No"
42,"Travel_Rarely",1059,9,4,"Male",93,2,5,4,"Single",19613,26362,8,"No",22,4,4,0,24,2,3,1,0,0,1,"No"
33,"Travel_Frequently",1111,5,2,"Male",61,3,2,4,"Married",9998,19293,6,"No",13,3,1,0,8,2,4,5,4,1,2,"No"
41,"Travel_Rarely",334,2,4,"Male",88,3,4,2,"Single",16015,15896,1,"No",19,3,2,0,22,2,3,22,10,0,4,"No"
27,"Travel_Frequently",1410,3,4,"Female",71,4,2,4,"Divorced",4647,16673,1,"Yes",20,4,2,2,6,3,3,6,5,0,4,"No"
34,"Travel_Rarely",1442,9,4,"Female",46,2,3,2,"Single",8621,17654,1,"No",14,3,2,0,9,3,4,8,7,7,7,"No"
56,"Travel_Rarely",1255,1,1,"Female",90,3,1,1,"Married",2066,10494,2,"No",22,4,4,1,5,3,4,3,2,1,0,"No"
33,"Travel_Rarely",654,5,4,"Male",34,2,3,4,"Divorced",7119,21214,4,"No",15,3,3,1,9,2,3,3,2,1,2,"No"
57,"Travel_Rarely",405,1,2,"Male",93,4,2,3,"Married",4900,2721,0,"No",24,4,1,1,13,2,2,12,9,2,8,"No"
37,"Travel_Rarely",309,10,4,"Female",88,2,2,4,"Divorced",6694,24223,2,"Yes",14,3,3,3,8,5,3,1,0,0,0,"No"
30,"Travel_Rarely",1288,29,3,"Male",33,3,3,2,"Married",9250,17799,3,"No",12,3,2,1,9,3,3,4,2,1,3,"No"
34,"Travel_Rarely",829,3,3,"Male",88,3,1,4,"Married",3737,2243,0,"No",19,3,3,1,4,1,1,3,2,0,2,"No"
29,"Travel_Rarely",665,15,3,"Male",60,3,1,4,"Single",2340,22673,1,"No",19,3,1,0,6,1,3,6,5,1,5,"No"
32,"Travel_Rarely",634,5,2,"Female",35,4,1,4,"Married",3312,18783,3,"No",17,3,4,2,6,3,3,3,2,0,2,"No"
47,"Travel_Rarely",1001,4,3,"Female",92,2,3,2,"Divorced",10333,19271,8,"Yes",12,3,3,1,28,4,3,22,11,14,10,"No"
21,"Travel_Rarely",984,1,4,"Female",70,2,1,2,"Single",2070,25326,1,"Yes",11,3,3,0,2,6,4,2,2,2,2,"No"
30,"Travel_Rarely",1082,12,2,"Female",83,3,2,3,"Single",6577,19558,0,"No",11,3,2,0,6,6,3,5,4,4,4,"No"
27,"Travel_Rarely",1134,16,3,"Female",37,3,1,2,"Married",2811,12086,9,"No",14,3,2,1,4,2,3,2,2,2,2,"No"
56,"Travel_Rarely",1443,11,4,"Female",89,2,2,1,"Married",5380,20328,4,"No",16,3,3,1,6,3,3,0,0,0,0,"No"
35,"Travel_Rarely",1017,6,2,"Male",82,1,2,4,"Single",6646,19368,1,"No",13,3,2,0,17,3,3,17,11,11,8,"No"
23,"Travel_Rarely",571,12,4,"Male",78,3,1,4,"Single",2647,13672,1,"No",13,3,3,0,5,6,4,5,2,1,4,"No"
40,"Non-Travel",663,9,3,"Male",81,3,2,3,"Divorced",3975,23099,3,"No",11,3,3,2,11,2,4,8,7,0,7,"No"
45,"Non-Travel",589,2,3,"Female",67,3,2,3,"Married",5154,19665,4,"No",22,4,2,2,10,3,4,8,7,5,7,"No"
29,"Travel_Rarely",1210,2,1,"Male",78,2,2,2,"Married",6644,3687,2,"No",19,3,2,2,10,2,3,0,0,0,0,"No"
51,"Travel_Frequently",968,6,2,"Female",40,2,1,3,"Single",2838,4257,0,"No",14,3,2,0,8,6,2,7,0,7,7,"No"
35,"Travel_Frequently",1199,18,3,"Male",80,3,2,3,"Married",5689,24594,1,"Yes",14,3,4,2,10,2,4,10,2,0,2,"No"
51,"Travel_Rarely",313,3,4,"Female",98,3,4,2,"Single",13734,7192,3,"No",18,3,3,0,21,6,3,7,7,1,0,"No"
31,"Travel_Rarely",525,6,1,"Male",66,4,2,4,"Divorced",5460,6219,4,"No",22,4,4,2,13,4,4,7,7,5,7,"No"
37,"Travel_Rarely",589,9,2,"Male",46,2,2,2,"Married",4189,8800,1,"No",14,3,1,2,5,2,3,5,2,0,3,"No"
39,"Travel_Rarely",1387,10,2,"Male",76,3,2,1,"Married",5377,3835,2,"No",13,3,4,3,10,3,3,7,7,7,7,"No"
29,"Travel_Rarely",1082,9,4,"Female",43,3,1,3,"Married",2974,25412,9,"No",17,3,3,1,9,2,3,5,3,1,2,"No"
29,"Travel_Rarely",1010,1,1,"Female",97,3,1,4,"Divorced",3760,5598,1,"No",15,3,1,3,3,5,3,3,2,1,2,"No"
50,"Travel_Rarely",939,24,4,"Male",95,3,4,3,"Married",13973,4161,3,"Yes",18,3,4,1,22,2,3,12,11,1,5,"No"
21,"Travel_Rarely",546,5,3,"Male",97,3,1,4,"Single",3117,26009,1,"No",18,3,3,0,3,2,3,2,2,2,2,"No"
31,"Travel_Frequently",1125,7,1,"Female",68,3,3,1,"Married",9637,8277,2,"No",14,3,4,2,9,3,3,3,2,2,2,"No"
39,"Travel_Rarely",1132,1,3,"Male",48,4,3,4,"Divorced",9613,10942,0,"No",17,3,1,3,19,5,2,18,10,3,7,"No"
40,"Travel_Rarely",302,6,2,"Female",75,3,4,3,"Single",13237,20364,7,"No",15,3,3,0,22,3,3,20,6,5,13,"No"
31,"Travel_Rarely",525,6,1,"Male",66,4,2,4,"Divorced",5460,6219,4,"No",22,4,4,2,13,4,4,7,7,5,7,"No"
49,"Travel_Frequently",636,10,3,"Female",35,3,5,1,"Single",18665,25594,9,"Yes",11,3,4,0,22,4,3,3,2,1,2,"No"
31,"Travel_Rarely",1232,7,3,"Female",39,3,3,4,"Single",7143,25713,1,"Yes",14,3,3,0,11,2,2,11,9,4,10,"No"
37,"Non-Travel",1063,25,2,"Female",72,3,2,3,"Married",4449,23866,3,"Yes",15,3,1,2,15,2,3,13,11,10,7,"No"
42,"Non-Travel",179,2,4,"Male",79,4,2,1,"Married",6272,12858,7,"No",16,3,1,1,10,3,4,4,3,0,3,"No"
50,"Travel_Rarely",1046,10,4,"Male",100,2,3,4,"Single",10496,2755,6,"No",15,3,4,0,20,2,3,4,3,1,3,"No"
31,"Travel_Rarely",140,12,3,"Female",95,3,1,4,"Married",3929,6984,8,"Yes",23,4,3,1,7,0,3,4,2,0,2,"No"
45,"Travel_Rarely",549,8,4,"Male",75,3,2,4,"Married",3697,9278,9,"No",14,3,1,2,12,3,3,10,9,9,8,"No"
25,"Travel_Rarely",1356,10,3,"Male",57,3,2,4,"Single",4950,20623,0,"No",14,3,2,0,5,4,3,4,3,1,1,"No"
58,"Non-Travel",390,1,4,"Male",32,1,2,3,"Divorced",5660,17056,2,"Yes",13,3,4,1,12,2,3,5,3,1,2,"No"
49,"Travel_Rarely",527,8,1,"Female",51,3,3,2,"Married",7403,22477,4,"No",11,3,3,1,29,3,2,26,9,1,7,"No"
34,"Travel_Rarely",943,9,4,"Male",86,3,3,4,"Divorced",8500,5494,0,"No",11,3,4,1,10,0,2,9,7,1,6,"No"
